// machine translate -- gemini-2.5-flash
name,
stopbgm,,,,,,,,,,,
fadeinblack,0,,,,,,,,,,
endwait,,,,,,,,,,,
sprite,download/bg/bg_11420300.jpg,bg,0,0,2.5,0
spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Thật tình、 đúng là mấy anh em rắc rối mà。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>À、 một 'tôi' khác sao？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Cô ấy đã tan vào giấc mộng rồi。Cô ấy khác với những cái bóng khác。。。hơn thế nữa、 cô ấy là một sự tồn tại mơ hồ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Anh nên chuẩn bị tinh thần một chút thì hơn đấy。Việc triệu hồi một cái bóng đáng lẽ đã biến mất、 là hành động quá sức đối với Tertia hiện giờ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Anh、 là vật chứa của cô ấy、 cũng sẽ không yên đâu。。。Có lẽ、 khi tỉnh dậy khỏi giấc mộng、 anh sẽ nằm liệt giường vì đau nhức toàn thân khoảng hai ngày đấy。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>。。。Vì 'tôi' mà không cần phải làm đến mức đó đâu。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Cái bóng của một thế giới khác、 một khả năng khác đã rơi vào thế giới này。。。Vốn dĩ、 nó sẽ gắn kết với bản thân 'tôi' ở đây bằng sự hối tiếc、 khát vọng và tình yêu sâu sắc。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Dù là một cái bóng như vậy、 cô ấy đã tự xóa bỏ bản thân mà không ở lại thế giới này。Xóa bỏ hối tiếc、 từ bỏ khát vọng、 và dùng tình yêu sâu sắc để tự xóa nhòa bản thân。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Mình thì、 dù không thể diễn tả bằng lời、 nhưng mình hiểu đó là cảm xúc gì。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Vì thế、 khi cô ấy biến mất、 mình không hề nghĩ đó là chuyện buồn。Bởi vì đó là một kết thúc khiến mình hài lòng。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Nhưng。。。đối với anh và Frau thì không phải vậy。Hai người đó、 vì sự ích kỷ của mình、 đã phủ nhận sự chấp nhận và hài lòng của mình。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Nhờ vào 'ác ý' của hai người đó、 cô ấy đã có thể đón nhận một kết cục hạnh phúc đến vô cùng、 và cũng đau đớn đến vô cùng。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Vậy nên。。。cảm ơn anh。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:smile,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Haha、 anh。Sao lại làm vẻ mặt buồn bã thế、 dù em đang cảm ơn mà。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Mọi người đều đã tỉnh khỏi giấc mộng này rồi。Chỉ còn lại chúng ta thôi。Chẳng mấy chốc、 toàn bộ giấc mộng này sẽ sụp đổ、 và giấc mộng của chúng ta cũng sẽ kết thúc。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Dù vậy、 khoảnh khắc này vẫn còn trong giấc mộng。。。trong giấc mộng trao hy vọng cho sự tuyệt vọng。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Cô ấy luôn mong anh và mọi người được mỉm cười。Chúng ta phải đồng hành cùng hy vọng đó。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:smile,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Vậy nên。。。từ giờ trở đi、 hãy ở bên em và Frau、 và hãy mỉm cười nhé、 anh。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Fufu。Chắc chắn đó không phải là điều quá khó đâu。Anh cứ như mọi khi là được rồi。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>Vậy nên。。。này、 anh。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


anm,scale,norn,0.6_0.6,0.5,0
anm,move,norn,0_-130,0.5,0
endwait


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-130,0.6,0,,,,
msg,0,<outline width=2 color=black>Anh không nghĩ là bây giờ có một lời nên nói sao？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:smile,norn,0,-130,0.6,0,,,,
msg,0,<outline width=2 color=black>Này này。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:smile,norn,0,-130,0.6,0,,,,
msg,0,<outline width=2 color=black>Nàoooo♪</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-130,0.6,0,,,,
msg,0,<outline width=2 color=black>。。。。。。。。。。。。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:unique,norn,0,-130,0.6,0,,,,
msg,0,<outline width=2 color=black>。。。。。。。。。。。。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:unique,norn,0,-130,0.6,0,,,,
msg,0,<outline width=2 color=black>Phải khen Norn-chan tóc dài với vẻ ngoài khác lạ này cũng siêu dễ thương chứ、 đồ ngốc này！</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:smile,norn,0,-130,0.6,0,,,,
msg,0,<outline width=2 color=black>Thật tình、 đồ anh ngốc。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,,,,,,,,,,,
msg,0,,,,,,,,,,,
spriteoff,all,0.5
endwait,,,,,,,,,,,
bg,color_255_255_255,1,255
endwait,,,,,,,,,,,


name,
msg,0,<outline width=2 color=black>。。。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,
msg,0,<outline width=2 color=black>。。。。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,
msg,0,<outline width=2 color=black>。。。。。。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,
msg,0,
endwait,,,,,,,,,,,,,
sprite,download/character/103514/image/main.png,card1,0,0,2,0,,,,
anm,fade,card1,0,0,0
anm,scale,card1,1_1,1,0
anm,fade,card1,255,1,0
endwait,,,,,,,,,,,
name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>。。。。。。。。。。。。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Đây là ảo ảnh trước khi giấc mộng tan biến sao。。。Hay là con đường dẫn đến địa ngục đây nhỉ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>。。。Cũng được thôi。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Dù có phải chịu đựng sự hành hạ của kiếp nạn、 nếu có thể mang theo ký ức này、 thì mình không sợ hãi đâu。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Mình đã thất bại。Mình đã sai lầm。Mình là sự tuyệt vọng của Norn Narvinot ngu ngốc và tội lỗi。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Vậy nên、 mình sẽ mang tất cả những điều đó đi。Chỉ để lại lời chúc phúc cho hy vọng。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>À。。。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


sprite,download/character/103514/image/main_unique.png,card2,0,0,1,0.5,,,,
endwait,,,,,,,,,,,
spriteoff,card1,0
endwait,
msg,0,<outline width=2 color=black>Thật sự。。。thật sự là một kết cục tuyệt vời đến nhường nào、 đây。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,
msg,0,
spriteoff,all,2
endwait,,,,,,,,,,,


name,
msg,0,<outline width=2 color=black>。。。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,
msg,0,<outline width=2 color=black>。。。。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,
msg,0,<outline width=2 color=black>。。。。。。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


fadeinblack,0.5,,,,,,,,,,
endwait,,,,,,,,,,,
name,,,,,,,,,,,
msg,0,,,,,,,,,,,
spriteoff,all,0.5,,,,,,,,,
endwait,,,,,,,,,,,
bgoff,1.0,,,,,,,,,,
endwait,,,,,,,,,,,
