// machine translate -- gemini-2.5-flash
name,
stopbgm,,,,,,,,,,,
fadeinblack,0,,,,,,,,,,
endwait,,,,,,,,,,,
sprite,download/character/100120/image/main.png,card1,0,0,1,0,,,,
msg,0,<outline width=2 color=black>Không、 không có chuyện đó…… không có chuyện đó đâu……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>……Vậy、 chị ăn vặt ở cửa hàng tiện lợi với ai？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>……M、 một mình、 ạ？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Vậy à。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>N、 bánh bao ngon nhỉ、 Dana。À、 xem kìa、 bên kia còn có cả điểm tâm khác nữa。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Mình cùng nhau vừa ăn vừa đi、 vui không？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Xin chị đừng làm vậy！ Đừng có tốt với em một cách kỳ lạ như thế！</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>À、 a ha ha……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Dù sao thì em cũng là đứa chẳng có bạn bè gì…… Ư、 ư…</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


stopbgm,0.4,,,,,,,,,,
endwait,,,,,,,,,,,
wait,0.2
endwait,,,,,,,,,,,
playbgm,/download/sound/bgm/bgm107.mp3,0,
endwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>……Này、 chị muốn hỏi từ lâu rồi、 sao ngày xưa Dana lại có những hành động xa cách mọi người như vậy？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Thì、 tại vì…… sống mà không cần dựa dẫm vào ai、 có vẻ ngầu và mạnh mẽ hơn。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>……Chỉ vì lý do đó thôi sao？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Đ、 đừng có nói như vậy chứ！</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Với lại…… nếu có ai ở bên cạnh、 em sẽ so sánh họ với mình、 rồi nhận ra mình chẳng có gì đặc biệt……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Em…… không thích điều đó。Việc phải thừa nhận mình không đặc biệt、 cảm giác như một điều gì đó rất đáng sợ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Đặc biệt……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Chuyện trẻ con thật…… Nếu không so sánh với người khác、 thì có thể tin rằng mình đặc biệt。Ngày xưa em đã thực sự nghĩ như vậy đấy。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Hay có lẽ nên nói là nhát gan。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Thật sự…… nghĩ lại bây giờ、 thấy thật xấu hổ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>……Chị、 có lẽ hiểu được một chút。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Hả？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Lo lắng vì không có cái “đặc biệt” của riêng mình…… Cảm thấy bản thân thật nhỏ bé、 đi sau người khác cả mấy bước。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Chị cũng từng có cảm giác đó。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>……Thật bất ngờ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Vậy sao？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Từ hồi ở cô nhi viện、 Asaka làm gì cũng giỏi、 lúc nào cũng là trung tâm của mọi người……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Với em、 chị đã là một người đủ đặc biệt rồi。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Có khi nào、 ngày xưa Dana né tránh chị、 là vì……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Vì em không muốn so sánh với Asaka。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>……Không ngờ、 Dana lại nghĩ vậy về chị。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Cái phần “Dana” đó、 em cũng thấy có chút gì đó không ổn、 nhưng thôi、 bỏ qua đi。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>A ha ha……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>……Này。Nếu mà、 sớm hơn một chút…… hồi ở cô nhi viện、 mình hiểu nhau hơn thì sao nhỉ？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Có khi nào、 mình đã thực sự cùng nhau ăn vặt ở cửa hàng tiện lợi không？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Đúng vậy…… Có lẽ、 cũng có khả năng đó。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Nếu vậy、 có lẽ mình đã bỏ lỡ điều gì đó hơi phí。Đáng lẽ phải nói chuyện với Dana nhiều hơn mới phải。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Chuyện ngày xưa、 bây giờ có nói gì cũng không thay đổi được nữa。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>——Vậy nên、 hãy bù đắp bằng những gì sắp tới。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Vì vậy、 hôm nay chúng ta hãy cùng nhau ăn thả ga nhé。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Ừm…… Đúng vậy。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Vậy、 tiếp theo mình ăn gì đây？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Hả…… Nhìn kìa、 Asaka！ Ở đằng kia là rượu Thiệu Hưng kìa……！</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Thỉnh thoảng uống chút rượu Thiệu Hưng cũng hay đấy chứ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Ôi、 Dana này…… lại rượu nữa rồi à？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Có sao đâu ạ。Để ăn uống ngon miệng、 rượu ngon là thứ không thể thiếu mà。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Nói thế thôi…… thật sự đừng có vì rượu mà làm hỏng sức khỏe đấy nhé？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Ưm…… chị nói chuyện khó nghe ghê。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Chuyện đó thì、 này、 nếu chị Asaka nấu mấy món ăn tốt cho sức khỏe thì coi như bù trừ cho nhau vậy……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Em khéo nói thật đấy…… Chị cũng sẽ để ý phần nào、 nhưng cuối cùng thì tiết chế vẫn là quan trọng nhất。Hôm nay mà em uống quá chén là chị sẽ cản đấy nhé。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Vâng…… em biết rồi ạ……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Hả、 hay là cứ chuốc cho chị Asaka say mềm đi、 thế là mình có thể thoải mái uống rượu mà không bị cản trở rồi còn gì……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Akai Asaka</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Dana à？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Dana</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Dạ không có gì đâu ạ、 vâng。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


fadeinblack,0.5,,,,,,,,,,
endwait,,,,,,,,,,,
name,,,,,,,,,,,
msg,0,,,,,,,,,,,
spriteoff,all,0.5,,,,,,,,,
endwait,,,,,,,,,,,
bgoff,1.0,,,,,,,,,,
endwait,,,,,,,,,,,
