// machine translate -- gemini-2.5-flash
name,
stopbgm,,,,,,,,,,,
fadeinblack,0,,,,,,,,,,
endwait,,,,,,,,,,,
fadeoutblack,1.5,,,,,,,,,,
endwait,,,,,,,,,,,
playbgm,/download/sound/bgm/bgm106.mp3,0,
endwait,,,,,,,,,,,
sprite,download/character/6013/image/601311.png,card1,0,0,1,0.5,,,,
name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Hả！？ Chị、 chị làm gì kỳ quặc đâu！ Chị chỉ đang thể hiện tình yêu với Frau bằng tất cả sức lực của mình thôi mà！</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Chính là cái đó đấy。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Hảaa……？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Tóm lại、 ôm chặt đến mức khó thở là không được。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Ưm…… chị、 chị sẽ cố gắng…… nhưng mà、 không tự tin lắm đâu。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Nornnnn――？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Nhưng mà biết làm sao được chứ……！ Frau thì cứ nũng nịu với anh hai、 rồi cả Asaka nữa、 trong khi lại đối xử với chị khá là thờ ơ……！</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Phải tranh thủ dịp này mà 'hấp thụ' Frau thật nhiều mới được。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Hấp thụ……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Mà nói thật、 anh hai thì chị hiểu rồi、 nhưng ít nhất cũng phải nũng nịu với chị hơn Asaka chứ……！ Chị mới là chị gái của Frau mà！？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Norn、 ồn ào quá ngay bên tai em đấy。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Độc địa quá！ Thấy chưa、 chị lại làm thế nữa rồi！</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>――Này Norn、 em muốn cùng chị ngắm trăng thật vui vẻ mà。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Hả？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Cùng Norn ngắm vầng trăng tuyệt đẹp、 cùng nhau nói rằng 'đẹp quá nhỉ'…… Chỉ cần như vậy thôi、 em nghĩ cũng đã là một kỷ niệm tuyệt vời rồi。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Frau……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Vậy mà Norn cứ mãi không nhìn trăng từ nãy đến giờ。Như thế thì sẽ không thành kỷ niệm chung của hai chị em mình đâu。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Em muốn nhìn cùng một thứ với chị…… nhưng dù ở bên nhau mà lại nhìn những thứ khác nhau、 thì em thấy hơi buồn。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Em rất yêu Norn、 và cũng vô cùng biết ơn vì chị đã dạy em rất nhiều điều từ trước đến nay đấy。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Em biết rõ Norn đã quan tâm em nhiều đến mức nào、 và vì em mà chị đã phải trải qua bao nhiêu chuyện khó khăn rồi。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Vì vậy từ giờ trở đi、 những kỷ niệm như thế này…… dù có lẽ với người bình thường chẳng là gì cả、 em vẫn muốn cùng chị tạo dựng thật trọn vẹn。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Frau……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Dù với người khác có thể chẳng là gì、 nhưng em muốn tăng thêm những điều đặc biệt của riêng em。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Nếu Norn cũng nghĩ như vậy、 em sẽ rất vui。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Thế nên nhé、 từ giờ mình cùng ngắm trăng đi――chị gái。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>……Frau đã nói thế rồi、 em nghĩ chị có thể từ chối sao？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Em không nghĩ vậy。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Đúng là cố tình mà…… Frau đúng là đã biến thành một ác nữ rồi。Thật tình、 không biết là do ai mà ra nữa。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Thôi thì、 vì là lời thỉnh cầu của cô em gái đáng yêu、 từ giờ mình sẽ ung dung tao nhã mà ngắm trăng vậy。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Nhưng mà、 vừa ngắm trăng vừa trò chuyện thì được chứ？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Ưm。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Còn ôm thì sao？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Ưm…… nếu không phải là cứ ôm mãi thì được。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Norn</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Hoan hô。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Vậy thì、 thỉnh thoảng chị em mình hãy dành thời gian riêng cho nhau nhé。Mình sẽ nói chuyện thật nhiều、 đến mức anh hai phải ghen tị luôn。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Frau</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Ừm。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,,,,,,,,,,,
msg,0,,,,,,,,,,,
spriteoff,all,0.5
endwait,,,,,,,,,,,
bg,color_0_0_0,1,255
endwait,,,,,,,,,,,
name,
msg,0,<outline width=2 color=black>……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,
msg,0,<outline width=2 color=black>…………</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,
msg,0,<outline width=2 color=black>………………</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


fadeinblack,0.5,,,,,,,,,,
endwait,,,,,,,,,,,
name,,,,,,,,,,,
msg,0,,,,,,,,,,,
spriteoff,all,0.5,,,,,,,,,
endwait,,,,,,,,,,,
bgoff,1.0,,,,,,,,,,
endwait,,,,,,,,,,,
