// machine translate -- gemini-2.5-flash
name,
stopbgm,,,,,,,,,,,
fadeinblack,0,,,,,,,,,,
bg,download/bg/bg_11730300.jpg,0,,,,,,,,
endwait,,,,,,,,,,,
fadeoutblack,1.5,,,,,,,,,,
endwait,,,,,,,,,,,
wait,1
endwait,,,,,,,,,,,
sprite,download/character/6055/image/605511.png,card1,0,0,2,0,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Có lẽ là vậy ạ…… nhưng đây là những cảm xúc thật lòng của Rosette。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Yoshino</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>……Em không phải tự nguyện ở trong Hội Tu Sĩ Phòng Dịch đâu nhỉ。Hình như、 em là người sống sót sau vụ thanh tẩy thiêu rụi một thị trấn nào đó、 phải không？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Vâng。Em nghe nói người đã nuôi dưỡng em đã bí mật nhặt Rosette khi còn là một đứa trẻ sơ sinh và nuôi lớn。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Việc Rosette ở trong Hội Tu Sĩ Phòng Dịch là kết quả của chuyện đó。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Bởi vì em được yêu cầu trở thành một lưỡi kiếm thể hiện ý chí của Chúa、 nên em cảm thấy việc mình ở đó là điều đương nhiên。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Nếu hỏi liệu có ý chí của Rosette trong đó không…… thì không biết、 thực sự là như thế nào nữa。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Yoshino</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Chị không phải là người vĩ đại đến mức có thể định đoạt cuộc đời em。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Thế nhưng、 nếu trong tương lai em muốn rời xa Hội Tu Sĩ Phòng Dịch、 thì chị có thể cung cấp cho em một nơi để nương tựa。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Cái đó thì……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Yoshino</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Hoàn cảnh xuất thân của chúng ta、 qua những gì vừa nói、 cũng khá giống nhau đấy chứ？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Nói là 'đồng bệnh tương liên' thì nghe hơi khách sáo một chút、 nhưng khi em gặp khó khăn、 chị vẫn muốn trở thành một người lớn mà em có thể tin cậy phần nào。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>……Em cảm ơn ngài、 Yoshino-sama。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Yoshino</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Phù phù。Mà nói đi thì cũng phải nói lại、 thế này có giống 'chị gái nhà bên' không nhỉ？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Là vậy sao ạ？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Yoshino</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Hồi nhỏ、 có một cặp vợ chồng trẻ mới cưới sống ở nhà bên cạnh。Khi nhắc đến 'chị gái nhà bên'、 người đầu tiên chị nghĩ đến chính là cô ấy。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Cô ấy là một người hiền lành、 đáng tin cậy…… Vì là ký ức tuổi thơ nên có lẽ đã được tô hồng đôi chút rồi。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Chị nhớ rồi。Khi bố mẹ bận、 chị thường được cô ấy chăm sóc。Con gái cô ấy vừa mới chào đời、 nên chị cứ có cảm giác như mình cũng có một cô em gái vậy。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Đúng là một kỷ niệm đáng nhớ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Yoshino-sama cũng là người hiền lành và rất đáng tin cậy mà。Vậy thì cũng giống nhau thôi ạ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Yoshino</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Haha。Chị thì còn lâu mới được như vậy…… À、 không nên nói thế nhỉ。Dù chỉ là 'chơi trò gia đình' thôi、 chị cũng phải cố gắng để trở thành người như vậy。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Một chị gái nhà bên hiền lành、 đáng tin cậy…… Ôi chao、 thế này chắc chị sẽ cảm thấy áp lực mất thôi。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Em nghĩ ngài cứ như bây giờ là đủ rồi ạ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Yoshino</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Cảm ơn em。Nghe em nói vậy chị cũng đỡ ngại。Ối…… không được rồi、 cà phê ngon thế này mà để nguội mất。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Vậy thì、 chị dùng đây、 Savigny。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Vâng、 mời ngài thưởng thức ạ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Yoshino</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>À mà、 chúng ta thì đang thong thả thế này、 nhưng không biết 'bên kia' có ổn không nhỉ？</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Rosette Savigny</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Cái đó thì……</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>…………Rosette thì、 không biết nói sao nữa。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,<outline width=2 color=black>Yoshino</outline>,,,,,,,,,,
msg,0,<outline width=2 color=black>Ồ… có vẻ hơi rối ren nhỉ。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


msg,0,<outline width=2 color=black>Ở chốn bình yên này、 không ngờ lại xảy ra chuyện như vậy… Rốt cuộc sẽ giải quyết ra sao đây…</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,,,,,,,,,,,
msg,0,,,,,,,,,,,
stopbgm,0.5,,,,,,,,,,
endwait,,,,,,,,,,,
bg,color_0_0_0,0,255
endwait,,,,,,,,,,,
spriteoff,all,1
endwait,,,,,,,,,,,


name,
msg,0,<outline width=2 color=black>……。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,
msg,0,<outline width=2 color=black>…………。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


name,
msg,0,<outline width=2 color=black>………………。</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


fadeinblack,0.5,,,,,,,,,,
endwait,,,,,,,,,,,
name,,,,,,,,,,,
msg,0,,,,,,,,,,,
spriteoff,all,0.5,,,,,,,,,
endwait,,,,,,,,,,,
bgoff,1.0,,,,,,,,,,
endwait,,,,,,,,,,,
